n,x,atan(x)
0,-1,-0.999999999
1,-0.9921875,-0.9986032385
2,-0.984375,-0.9971856407
3,-0.9765625,-0.995746746
4,-0.96875,-0.9942860816
5,-0.9609375,-0.9928031608
6,-0.953125,-0.9912974829
7,-0.9453125,-0.9897685322
8,-0.9375,-0.9882157778
9,-0.9296875,-0.9866386729
10,-0.921875,-0.9850366543
11,-0.9140625,-0.9834091417
12,-0.90625,-0.9817555373
13,-0.8984375,-0.9800752247
14,-0.890625,-0.9783675689
15,-0.8828125,-0.9766319148
16,-0.875,-0.9748675869
17,-0.8671875,-0.9730738887
18,-0.859375,-0.9712501013
19,-0.8515625,-0.9693954832
20,-0.84375,-0.9675092689
21,-0.8359375,-0.9655906682
22,-0.828125,-0.9636388653
23,-0.8203125,-0.9616530175
24,-0.8125,-0.9596322547
25,-0.8046875,-0.9575756776
26,-0.796875,-0.955482357
27,-0.7890625,-0.9533513324
28,-0.78125,-0.9511816108
29,-0.7734375,-0.9489721656
30,-0.765625,-0.9467219346
31,-0.7578125,-0.9444298193
32,-0.75,-0.9420946827
33,-0.7421875,-0.9397153482
34,-0.734375,-0.9372905978
35,-0.7265625,-0.9348191701
36,-0.71875,-0.9322997589
37,-0.7109375,-0.929731011
38,-0.703125,-0.9271115242
39,-0.6953125,-0.9244398452
40,-0.6875,-0.9217144676
41,-0.6796875,-0.9189338294
42,-0.671875,-0.9160963106
43,-0.6640625,-0.9132002306
44,-0.65625,-0.9102438458
45,-0.6484375,-0.9072253466
46,-0.640625,-0.9041428543
47,-0.6328125,-0.9009944185
48,-0.625,-0.8977780136
49,-0.6171875,-0.8944915354
50,-0.609375,-0.8911327976
51,-0.6015625,-0.8876995285
52,-0.59375,-0.8841893664
53,-0.5859375,-0.8805998561
54,-0.578125,-0.8769284448
55,-0.5703125,-0.8731724769
56,-0.5625,-0.8693291903
57,-0.5546875,-0.8653957108
58,-0.546875,-0.8613690476
59,-0.5390625,-0.8572460875
60,-0.53125,-0.8530235898
61,-0.5234375,-0.8486981804
62,-0.515625,-0.8442663458
63,-0.5078125,-0.8397244269
64,-0.5,-0.8350686124
65,-0.4921875,-0.8302949323
66,-0.484375,-0.8253992507
67,-0.4765625,-0.820377259
68,-0.46875,-0.8152244679
69,-0.4609375,-0.8099362003
70,-0.453125,-0.8045075831
71,-0.4453125,-0.7989335393
72,-0.4375,-0.79320878
73,-0.4296875,-0.7873277956
74,-0.421875,-0.7812848481
75,-0.4140625,-0.775073962
76,-0.40625,-0.7686889164
77,-0.3984375,-0.7621232365
78,-0.390625,-0.7553701856
79,-0.3828125,-0.7484227572
80,-0.375,-0.7412736677
81,-0.3671875,-0.7339153497
82,-0.359375,-0.7263399456
83,-0.3515625,-0.718539303
84,-0.34375,-0.7105049701
85,-0.3359375,-0.7022281936
86,-0.328125,-0.6936999179
87,-0.3203125,-0.6849107859
88,-0.3125,-0.6758511432
89,-0.3046875,-0.6665110445
90,-0.296875,-0.6568802635
91,-0.2890625,-0.6469483071
92,-0.28125,-0.6367044341
93,-0.2734375,-0.6261376785
94,-0.265625,-0.6152368797
95,-0.2578125,-0.6039907193
96,-0.25,-0.592387765
97,-0.2421875,-0.5804165239
98,-0.234375,-0.5680655047
99,-0.2265625,-0.555323291
100,-0.21875,-0.5421786258
101,-0.2109375,-0.5286205082
102,-0.203125,-0.5146383043
103,-0.1953125,-0.5002218708
104,-0.1875,-0.4853616947
105,-0.1796875,-0.470049047
106,-0.171875,-0.4542761513
107,-0.1640625,-0.4380363672
108,-0.15625,-0.4213243873
109,-0.1484375,-0.4041364451
110,-0.140625,-0.3864705335
111,-0.1328125,-0.3683266289
112,-0.125,-0.3497069177
113,-0.1171875,-0.3306160202
114,-0.109375,-0.3110612058
115,-0.1015625,-0.2910525931
116,-0.09375,-0.2706033263
117,-0.0859375,-0.2497297218
118,-0.078125,-0.2284513749
119,-0.0703125,-0.206791219
120,-0.0625,-0.1847755311
121,-0.0546875,-0.1624338741
122,-0.046875,-0.1397989745
123,-0.0390625,-0.1169065295
124,-0.03125,-0.09379494468
125,-0.0234375,-0.07050500504
126,-0.015625,-0.04707948283
127,-0.0078125,-0.02356269211
128,0,0
129,0.0078125,0.02356269211
130,0.015625,0.04707948283
131,0.0234375,0.07050500504
132,0.03125,0.09379494468
133,0.0390625,0.1169065295
134,0.046875,0.1397989745
135,0.0546875,0.1624338741
136,0.0625,0.1847755311
137,0.0703125,0.206791219
138,0.078125,0.2284513749
139,0.0859375,0.2497297218
140,0.09375,0.2706033263
141,0.1015625,0.2910525931
142,0.109375,0.3110612058
143,0.1171875,0.3306160202
144,0.125,0.3497069177
145,0.1328125,0.3683266289
146,0.140625,0.3864705335
147,0.1484375,0.4041364451
148,0.15625,0.4213243873
149,0.1640625,0.4380363672
150,0.171875,0.4542761513
151,0.1796875,0.470049047
152,0.1875,0.4853616947
153,0.1953125,0.5002218708
154,0.203125,0.5146383043
155,0.2109375,0.5286205082
156,0.21875,0.5421786258
157,0.2265625,0.555323291
158,0.234375,0.5680655047
159,0.2421875,0.5804165239
160,0.25,0.592387765
161,0.2578125,0.6039907193
162,0.265625,0.6152368797
163,0.2734375,0.6261376785
164,0.28125,0.6367044341
165,0.2890625,0.6469483071
166,0.296875,0.6568802635
167,0.3046875,0.6665110445
168,0.3125,0.6758511432
169,0.3203125,0.6849107859
170,0.328125,0.6936999179
171,0.3359375,0.7022281936
172,0.34375,0.7105049701
173,0.3515625,0.718539303
174,0.359375,0.7263399456
175,0.3671875,0.7339153497
176,0.375,0.7412736677
177,0.3828125,0.7484227572
178,0.390625,0.7553701856
179,0.3984375,0.7621232365
180,0.40625,0.7686889164
181,0.4140625,0.775073962
182,0.421875,0.7812848481
183,0.4296875,0.7873277956
184,0.4375,0.79320878
185,0.4453125,0.7989335393
186,0.453125,0.8045075831
187,0.4609375,0.8099362003
188,0.46875,0.8152244679
189,0.4765625,0.820377259
190,0.484375,0.8253992507
191,0.4921875,0.8302949323
192,0.5,0.8350686124
193,0.5078125,0.8397244269
194,0.515625,0.8442663458
195,0.5234375,0.8486981804
196,0.53125,0.8530235898
197,0.5390625,0.8572460875
198,0.546875,0.8613690476
199,0.5546875,0.8653957108
200,0.5625,0.8693291903
201,0.5703125,0.8731724769
202,0.578125,0.8769284448
203,0.5859375,0.8805998561
204,0.59375,0.8841893664
205,0.6015625,0.8876995285
206,0.609375,0.8911327976
207,0.6171875,0.8944915354
208,0.625,0.8977780136
209,0.6328125,0.9009944185
210,0.640625,0.9041428543
211,0.6484375,0.9072253466
212,0.65625,0.9102438458
213,0.6640625,0.9132002306
214,0.671875,0.9160963106
215,0.6796875,0.9189338294
216,0.6875,0.9217144676
217,0.6953125,0.9244398452
218,0.703125,0.9271115242
219,0.7109375,0.929731011
220,0.71875,0.9322997589
221,0.7265625,0.9348191701
222,0.734375,0.9372905978
223,0.7421875,0.9397153482
224,0.75,0.9420946827
225,0.7578125,0.9444298193
226,0.765625,0.9467219346
227,0.7734375,0.9489721656
228,0.78125,0.9511816108
229,0.7890625,0.9533513324
230,0.796875,0.955482357
231,0.8046875,0.9575756776
232,0.8125,0.9596322547
233,0.8203125,0.9616530175
234,0.828125,0.9636388653
235,0.8359375,0.9655906682
236,0.84375,0.9675092689
237,0.8515625,0.9693954832
238,0.859375,0.9712501013
239,0.8671875,0.9730738887
240,0.875,0.9748675869
241,0.8828125,0.9766319148
242,0.890625,0.9783675689
243,0.8984375,0.9800752247
244,0.90625,0.9817555373
245,0.9140625,0.9834091417
246,0.921875,0.9850366543
247,0.9296875,0.9866386729
248,0.9375,0.9882157778
249,0.9453125,0.9897685322
250,0.953125,0.9912974829
251,0.9609375,0.9928031608
252,0.96875,0.9942860816
253,0.9765625,0.995746746
254,0.984375,0.9971856407
255,0.9921875,0.9986032385
256,1,0.999999999